epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.83745,1.09672,2.3904,1.82001,0.00333,1,0.09045,0.0402,0.94285,3.1203,2.3295,0,0,0
2,3.93588,1.4854,2.54493,1.95875,0.00333,1,0.07654,0.03742,0.95914,3.0633,2.31951,1.9802e-05,1.9802e-05,1.9802e-05
3,6.61139,1.03784,2.36902,1.5879,0.00333,1,0.07107,0.04312,0.95027,3.12886,2.27268,3.9208e-05,3.9208e-05,3.9208e-05
4,9.36131,1.01351,2.35661,1.80829,0.00333,1,0.09045,0.05789,0.88867,3.27676,2.21768,5.8218e-05,5.8218e-05,5.8218e-05
5,11.775,1.82199,3.00998,2.57133,0.00333,1,0.14214,0.11371,0.82205,3.09122,2.1533,7.6832e-05,7.6832e-05,7.6832e-05
6,13.9415,1.19411,2.29871,1.54669,0.00333,1,0.4975,0.34825,0.80738,3.03336,2.16043,9.505e-05,9.505e-05,9.505e-05
7,15.9743,0.91866,2.24566,1.38205,0.00333,1,0.995,0.6965,0.79104,3.03007,2.09545,0.000112872,0.000112872,0.000112872
8,18.4075,0.98001,2.24333,1.41187,0.00333,1,0.995,0.796,0.71996,3.05656,2.07169,0.000130298,0.000130298,0.000130298
9,20.5775,0.89938,2.17033,1.46707,0.00333,1,0.995,0.796,0.66802,3.02683,2.04137,0.000147328,0.000147328,0.000147328
10,22.6989,1.94407,2.53962,2.7279,0.00333,1,0.995,0.6965,0.61511,3.05874,2.07435,0.000163962,0.000163962,0.000163962
11,24.6412,2.65026,2.67569,3.28231,0.00333,1,0.995,0.6965,0.61424,3.01251,2.04155,0.0001802,0.0001802,0.0001802
12,26.5748,1.17487,2.04929,1.48578,0.00333,1,0.995,0.54725,0.7198,3.03511,1.8968,0.000196042,0.000196042,0.000196042
13,28.7843,1.17058,2.31054,1.80401,0.00333,1,0.995,0.54725,0.70002,2.97646,1.86065,0.000211488,0.000211488,0.000211488
14,30.9151,1.44239,2.16385,1.93003,0.00333,1,0.995,0.54725,0.65452,2.94452,1.81386,0.000226538,0.000226538,0.000226538
15,32.774,1.32942,1.86187,1.93436,0.00333,1,0.995,0.597,0.61077,2.93408,1.69943,0.000241192,0.000241192,0.000241192
16,34.9004,1.72123,1.91374,1.98446,0.00333,1,0.995,0.6965,0.54176,2.8576,1.73233,0.00025545,0.00025545,0.00025545
17,36.8215,0.7707,1.57826,1.25142,0.00333,1,0.995,0.6965,0.58949,2.95988,1.7281,0.000269312,0.000269312,0.000269312
18,38.7186,0.72464,1.89868,1.72551,0.00333,1,0.995,0.6965,0.58949,2.95988,1.7281,0.000282778,0.000282778,0.000282778
19,41.3782,0.70398,1.42334,1.25065,0.00333,1,0.995,0.6965,0.62701,2.82119,1.92391,0.000295848,0.000295848,0.000295848
20,43.3743,1.49515,2.32684,1.76917,0.00333,1,0.995,0.6965,0.62701,2.82119,1.92391,0.000308522,0.000308522,0.000308522
21,45.3655,0.5134,1.38069,1.01072,0.00333,1,0.995,0.6965,0.62375,2.69002,1.89113,0.0003208,0.0003208,0.0003208
22,47.1213,0.64671,1.09942,1.14543,0.00333,1,0.995,0.6965,0.62375,2.69002,1.89113,0.000332682,0.000332682,0.000332682
23,49.3282,1.25529,1.91571,1.953,0.05122,1,0.995,0.60465,0.72977,2.49347,1.68573,0.000344168,0.000344168,0.000344168
24,51.3799,0.59093,1.37995,1.48458,0.05122,1,0.995,0.60465,0.72977,2.49347,1.68573,0.000355258,0.000355258,0.000355258
25,53.2492,0.85985,2.51304,1.91078,0.0632,1,0.995,0.796,0.57015,2.50298,1.47383,0.000365952,0.000365952,0.000365952
26,54.9728,1.05426,1.48181,1.43567,0.0632,1,0.995,0.796,0.57015,2.50298,1.47383,0.00037625,0.00037625,0.00037625
27,57.1135,0.59279,1.23771,1.26939,0.05022,1,0.995,0.8955,0.58711,2.44442,1.49783,0.000386152,0.000386152,0.000386152
28,58.8799,0.99236,1.59554,1.4925,0.05022,1,0.995,0.8955,0.58711,2.44442,1.49783,0.000395658,0.000395658,0.000395658
29,60.9474,0.72667,1.3763,1.3806,0.0084,1,0.995,0.8955,0.563,2.4462,1.48967,0.000404768,0.000404768,0.000404768
